,0.975],Coef,P-value,RunTime,Std.Err,Truth,[0.025,z
X1,0.20016400862280062,-0.004920737696441236,0.9624919090738954,65.45090293884277,0.10463699655669281,-1.5,-0.2100054840156831,-0.047026748266567046
X2,0.18551418229562944,-0.26512586609224753,0.24886559570291278,65.45090293884277,0.22992261510307177,0.1,-0.7157659144801245,-1.153109127492285
X3,-0.19646572243652027,-0.4868219397019298,0.001015676620398164,65.45090293884277,0.14814364818201226,-0.5,-0.7771781569673393,-3.2861479089796046
X4,0.09867394386467648,-0.16499240532529297,0.2200214195386524,65.45090293884277,0.1345261184337924,-0.3,-0.4286587545152624,-1.2264711659431005
X5,0.5173545174139373,0.2605417353499688,0.04676493609218588,65.45090293884277,0.1310293362857525,0.4,0.0037289532860001473,1.9884229191375278
X6,-0.093825049809838,-0.22950903696954134,0.0009155368695455468,65.45090293884277,0.06922779559201257,-0.2,-0.3651930241292447,-3.3152729334634747
X7,-0.2272444978932075,-0.320486143185757,1.6202050188208806e-11,65.45090293884277,0.0475731417988032,-0.25,-0.41372778847830655,-6.736703338643476
X8,0.9674367232650463,0.5234893937960843,0.02082562877357736,65.45090293884277,0.22650789987416195,0.35,0.0795420643271223,2.311130843943688
X9,0.21572413871650775,-0.10688873288987837,0.516093345052971,65.45090293884277,0.16460142717232873,-0.1,-0.4295016044962645,-0.649379137994786
X10,0.7869364857798722,0.5567676088035297,2.1260289164412346e-06,65.45090293884277,0.11743525747225077,0.5,0.32659873182718724,4.7410600597106916
